lemma_id,lemma_text,lemma_short_def
785,a)ikh/,"rapid flight, rush, impetus"
786,a)ikh/s,
787,ai)ki/a,"injurious treatment, an affront, outrage"
788,ai)ki/zw,"to treat injuriously, to plague, torment"
789,ai)/kisma,"an outrage, torture"
790,ai)kismo/s,
791,a)ikw=s,
792,ai)/linos,a plaintive dirge
793,ai)/louros,a cat
794,ai(makto/s,"mingled with blood, of blood"
796,ai(=ma,blood
797,ai(masia/,a wall
798,ai(ma/s,a gush
799,ai(ma/ssw,to make bloody stain with blood
800,ai(matekxusi/a,shedding of blood
801,ai(mathro/s,"bloody, bloodstained, murderous"
802,ai(mathfo/ros,"bringing blood, bloody"
804,ai(matoloixo/s,licking blood
810,ai(matoxa/rmhs,delighting in blood
811,ai(mato/w,"to make bloody, stain with blood"
813,ai(matwpo/s,bloody to behold
814,ai(matw/y,
815,ai(mobafh/s,bathed in blood
817,ai(mo/diyos,bloodthirsty
818,ai(morragh/s,bleeding violently
820,ai(morroe/w,to have a
821,ai(mo/rroia,a discharge of blood
